 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
146.210007      74.995598       126.116829      74.860001       101.980003     
225.839996      12.616076       37.526352       38.980000       25.764999      
340.769989      94.391624       260.884308      93.949997       182.274994     
326.320007      116.464249      253.786423      116.099998      188.949997     
197.050003      82.915802       134.112396      82.779999       109.940002     
31.150000       0.138175        52.230152       55.270000       27.635000      
11.440000       0.123550        46.701900       49.419998       24.709999      
19.100000       0.120475        45.539547       48.189999       24.094999      
44.599998       0.118675        44.859154       47.470001       23.735001      
50.490002       4.111483        43.501381       45.799999       24.903500      
55.730000       0.108600        41.050804       43.439999       21.719999      
69.220001       14.763150       38.570694       39.959999       27.330000      
111.110001      56.300274       135.573975      56.090000       98.144997      
155.419998      63.177723       92.480057       63.099998       78.645004      
631.669983      187.138992      465.741974      186.399994      334.200012     
255.000000      46.592449       47.516098       47.570000       47.080002      
26.420000       3.573072        34.514404       36.320000       19.905500      
17.910000       0.375829        29.566565       31.270000       15.784201      
6.510000        0.069700        26.346600       27.879999       13.940000      
17.540001       0.068725        25.978054       27.490000       13.745000      
36.080002       0.072584        26.904228       28.469999       14.235706      
52.349998       0.841318        26.748190       28.260000       14.516300      
59.099998       0.066250        25.042498       26.500000       13.250000      
55.590000       6.966918        23.523815       24.490000       15.706500      
60.889999       45.473347       125.906334      45.259998       87.930000      
88.389999       21.104750       37.975506       21.059999       30.009998      
219.330002      23.843124       134.351242      23.549999       82.175003      
134.919998      10.223400       41.665199       10.140000       26.820000      
31.590000       0.015166        4.435074        4.693000        2.348221       
14.520000       2.484823        26.545906       2.421000        15.185500      
0.420000        0.002587        0.978075        1.035000        0.517500       
2.000000        0.009975        3.770550        3.990000        1.995000       
14.250000       0.373364        5.675587        5.985000        3.172150       
58.400002       8.840193        60.561779       8.703000        36.141502      
53.360001       9.084863        20.343025       9.055000        15.027500      
52.180000       11.828150       26.210693       11.790000       19.420000      
83.910004       210.188004      544.963928      209.300003      386.899994     
305.769989      282.855988      680.967896      281.799988      493.000000     
497.130005      29.699625       71.028267       29.590000       51.514999      
184.199997      23.653400       43.785210       23.600000       34.279999      
30.969999       1.102130        13.969140       14.720000       7.894000       
4.650000        0.029975        11.330550       11.990000       5.995000       
5.040000        0.026625        10.064249       10.650000       5.325000       
5.600000        0.029450        11.132100       11.780000       5.890000       
20.709999       0.033850        12.795300       13.540000       6.770000       
38.689999       0.036962        13.797024       14.600000       7.300231       
40.400002       0.257719        13.572981       14.350000       7.286200       
48.580002       17.955702       80.424591       17.790001       50.930000      
56.580002       13.369925       20.881655       13.350000       17.334999      
57.889999       12.870875       28.280750       12.830000       21.005001      
60.840000       9.449310        40.857182       9.366000        26.028000      
13.460000       0.002953        1.116045        1.181000        0.590500       
1.590000        0.000000        0.000000        0.000000        0.000000       
2.690000        0.000000        0.000000        0.000000        0.000000       
4.980000        0.000000        0.000000        0.000000        0.000000       
2.630000        0.000017        0.006592        0.007000        0.003488       
6.330000        0.002520        0.952560        1.008000        0.504000       
19.650000       4.339565        51.677567       4.214000        29.327000      
26.809999       14.839025       48.401455       14.750000       32.555000      
29.209999       11.976425       48.328648       11.880000       31.165001      
32.029999       85.539604       228.648834      85.160004       161.080002     
111.699997      71.906555       383.515930      71.080002       236.390015     
127.099998      16.815849       79.341293       16.650000       49.820000      
23.690001       1.370885        1.704530        1.370000        1.547000       
2.260000        0.000000        0.000000        0.000000        0.000000       
0.550000        0.000000        0.000000        0.000000        0.000000       
0.270000        0.000000        0.000000        0.000000        0.000000       
0.220000        0.000005        0.001995        0.002100        0.001056       
0.770000        0.004990        1.886220        1.996000        0.998000       
10.320000       4.021805        8.095290        4.011000        6.172000       
25.840000       8.238470        48.377663       8.132000        29.426001      
30.219999       8.869393        18.819366       8.843000        14.121500      
39.669998       42.273602       198.200836      41.860001       124.580002     
70.370003       0.886333        12.058070       0.856700        6.783350       
47.970001       0.036150        13.664701       0.000000        7.230000       
13.910000       0.004618        1.745415        0.000000        0.923500       
0.350000        0.000000        0.000000        0.000000        0.000000       
0.250000        0.000000        0.000000        0.000000        0.000000       
0.200000        0.000000        0.000000        0.000000        0.000000       
0.190000        0.000000        0.000000        0.000000        0.000000       

p-factor= 0.39
r-factor= 0.48
R2= 0.32
Nash_Sutclif= 0.12


 FLOW_OUT_7
observed          L95PPU         U95PPU         Best_Sim       M95PPU
2.080000        9.206263        28.532230       9.155000        19.407499      
12.510000       17.120726       21.164059       17.110001       19.255001      
22.180000       8.272985        9.398331        9.464000        8.867001       
44.610001       113.318748      271.187500      112.900002      196.649994     
35.090000       80.271530       299.506439      79.690002       195.994995     
53.520000       58.029499       182.250977      57.700001       123.599998     
85.519997       29.908949       67.213104       29.809999       49.599998      
373.470001      14.573575       23.461357       14.550000       19.264999      
306.000000      0.018182        6.872985        7.273000        3.636500       
113.190002      0.015797        5.971454        6.319000        3.159500       
23.120001       0.018620        7.038360        7.448000        3.724000       
5.820000        3.529367        9.699918        10.060000       6.786500       
20.209999       37.808998       116.602005      37.599998       79.399994      
28.910000       14.096475       54.237545       13.990000       35.285000      
37.340000       55.817699       81.340599       55.750000       69.290001      
50.110001       187.320251      383.454498      186.800003      290.850006     
54.509998       189.989487      412.231079      189.399994      307.299988     
60.209999       90.208328       217.756882      89.870003       157.535004     
125.029999      54.237324       117.318855      54.070000       87.535004      
192.000000      5.669793        27.080564       28.330000       16.971500      
157.570007      0.057875        21.876755       23.150000       11.575000      
52.119999       0.054950        20.771101       21.980000       10.990000      
7.700000        0.053625        20.270252       21.450001       10.725000      
10.060000       0.054025        20.421450       21.610001       10.805000      
8.250000        34.844723       85.636055       34.709999       61.654999      
14.400000       38.581249       42.822506       38.570000       40.820000      
66.620003       48.065823       121.891853      47.869999       87.034996      
88.949997       98.165726       194.574081      97.910004       149.054993     
138.669998      64.131973       185.516541      63.810001       128.205002     
122.690002      45.990250       117.714500      45.799999       83.849998      
285.640015      43.879799       119.204384      43.680000       83.639999      
254.139999      6.334840        21.731522       22.629999       14.462000      
151.619995      0.046125        17.435251       18.450001       9.225000       
48.040001       0.042100        15.913800       16.840000       8.420000       
14.620000       0.041375        15.639748       16.549999       8.275000       
5.410000        0.048869        17.029114       18.020000       9.011914       
12.660000       23.899099       151.739807      23.559999       91.379997      
37.650002       50.481728       115.222076      50.310001       84.654999      
109.150002      117.873497      258.683014      117.500000      192.199997     
67.889999       124.170250      188.354477      124.000000      158.050003     
77.660004       82.596321       205.620819      82.269997       147.535004     
112.949997      127.704254      280.106506      127.300003      208.149994     
146.029999      97.791649       192.663666      97.540001       147.869995     
244.229996      17.347549       50.353893       52.279999       34.770000      
272.320007      0.112450        42.506107       44.980000       22.490000      
184.839996      0.102000        38.556004       40.799999       20.400000      
25.330000       0.100575        38.017345       40.230000       20.115000      
14.940000       0.098675        37.299152       39.470001       19.735001      
13.710000       151.206253      492.862488      150.300003      331.549988     
34.990002       86.636002       100.208023      86.599998       93.800003      
42.610001       92.040573       118.647331      91.970001       106.084999     
46.639999       73.018295       125.157379      72.879997       100.539993     
51.619999       12.922375       36.437756       37.810001       25.335001      
75.379997       93.643677       249.599136      93.230003       175.965012     
105.970001      116.666000      254.648010      116.300003      189.500000     
353.000000      83.626770       135.190948      83.489998       110.845001     
175.979996      0.140575        53.137356       56.230000       28.115000      
27.830000       0.126225        47.713051       50.490002       25.245001      
24.930000       0.121825        46.049858       48.730000       24.365000      
3.530000        0.118875        44.934757       47.549999       23.775000      
8.890000        4.332027        43.173397       45.439999       24.834499      
30.360001       0.107000        40.445992       42.799999       21.400000      
37.720001       14.851300       37.961399       39.310001       27.050001      
40.000000       56.012001       135.936035      55.799999       98.200005      
43.650002       63.098526       85.162476       63.040001       74.744995      
42.340000       187.408249      454.418396      186.699997      328.350006     
52.340000       42.983974       48.252537       48.560001       45.764999      
139.320007      3.867893        35.872368       37.740002       20.761501      
74.980003       0.449554        31.006815       32.790001       16.579250      
18.090000       0.073325        27.716852       29.330000       14.665000      
8.580000        0.071300        26.951399       28.520000       14.260000      
0.320000        0.092610        27.406107       29.000000       14.510080      
2.390000        1.044310        26.872766       28.379999       14.677899      
8.920000        0.066428        25.108648       26.570000       13.285002      
34.740002       7.132553        23.551844       24.510000       15.799500      
33.070000       36.521801       63.590416       36.450001       50.809998      
34.290001       21.396151       35.024693       21.360001       28.590000      
55.840000       24.712950       135.155106      24.420000       83.010002      
198.839996      11.331775       30.850943       11.280000       21.635000      
308.329987      0.125369        5.806476        6.138000        3.124150       
125.529999      3.865427        8.927594        3.852000        6.537500       
38.580002       0.006335        2.394630        2.534000        1.267000       
5.960000        0.012635        4.776030        5.054000        2.527000       
4.310000        0.557881        6.356613        6.695000        3.618750       
5.180000        9.024063        57.680618       8.895000        34.707500      
15.410000       9.181223        20.575108       9.151000        15.195499      
23.180000       11.827200       25.851606       11.790000       19.230000      
25.400000       206.284760      464.435608      205.600006      342.549988     
30.809999       273.155273      633.284546      272.200012      463.250000     
32.810001       28.964800       57.164402       28.889999       43.849998      
35.470001       24.174774       41.054951       24.129999       33.084999      
33.680000       1.257772        15.121005       15.930000       8.575500       
10.440000       0.033150        12.530701       13.260000       6.630000       
0.750000        0.029675        11.217152       11.870000       5.935000       
3.830000        0.031425        11.878650       12.570000       6.285000       
2.030000        0.034675        13.107150       13.870000       6.935000       
1.580000        0.061412        13.732235       14.530000       7.277575       
4.550000        0.376794        13.305537       14.060000       7.201250       
9.700000        17.425100       75.897789       17.270000       48.290001      
14.480000       13.520675       21.315147       13.500000       17.635000      
16.940001       13.230599       28.536804       13.190000       21.309999      
23.990000       10.182500       41.284996       10.100000       26.599998      
69.919998       0.005412        2.045925        2.165000        1.082500       
63.209999       0.000003        0.001055        0.001100        0.000558       
15.770000       0.000000        0.000000        0.000000        0.000000       
3.850000        0.000000        0.000000        0.000000        0.000000       
1.260000        0.000435        0.164241        0.173800        0.086900       
0.340000        0.004160        1.572480        1.664000        0.832000       
0.400000        4.558135        50.603020       4.436000        28.863001      
0.620000        14.869300       48.535397       14.780000       32.639999      
7.900000        12.056450       48.418106       11.960000       31.250000      
0.980000        85.743050       222.612915      85.379997       157.990005     
3.270000        67.612869       317.516785      66.949997       199.524994     
2.240000        17.644775       79.764954       17.480000       50.434998      
0.330000        1.297545        2.257010        2.313000        1.804000       
0.130000        0.000073        0.027613        0.029200        0.014610       
0.000000        0.000000        0.000000        0.000000        0.000000       
0.000000        0.000000        0.000000        0.000000        0.000000       
0.000000        0.000149        0.056265        0.059500        0.029770       
0.290000        0.006550        2.475900        2.620000        1.310000       
0.430000        4.292818        5.355015        4.290000        4.853500       

p-factor= 0.40
r-factor= 0.66
R2= 0.01
Nash_Sutclif= -0.30


 NO3_OUT_7
observed          L95PPU         U95PPU         Best_Sim       M95PPU
17000.000000    6907.842285     20043.462891    6873.000000     13841.500000   
510000.000000   51813.875000    302094.750000   51150.000000    183925.000000  
56000.000000    1969.647461     27849.757813    1901.000000     15630.500000   
61000.000000    74.174995       28038.150391    0.000000        14835.000000   
1100.000000     5.765000        2179.169922     0.000000        1153.000000    
14.000000       0.000000        0.000000        0.000000        0.000000       
0.230000        0.000000        0.000000        0.000000        0.000000       
5.800000        0.000000        0.000000        0.000000        0.000000       
6.400000        0.000000        0.000000        0.000000        0.000000       
3.200000        0.000000        0.000000        0.000000        0.000000       
5800.000000     45.212326       4999.868164     32.070000       2660.534912    
7400.000000     203.914490      9144.281250     180.199997      4923.100098    

p-factor= 0.33
r-factor= 0.20
R2= 0.97
Nash_Sutclif= 0.06


