Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_3     497.130005      29.699625       71.028267       29.590000      
FLOW_OUT_3     184.199997      23.653400       43.785210       23.600000      
FLOW_OUT_3     30.969999       1.102130        13.969140       14.720000      
FLOW_OUT_3     4.650000        0.029975        11.330550       11.990000      
FLOW_OUT_3     5.040000        0.026625        10.064249       10.650000      
FLOW_OUT_3     5.600000        0.029450        11.132100       11.780000      
FLOW_OUT_3     20.709999       0.033850        12.795300       13.540000      
FLOW_OUT_3     38.689999       0.036962        13.797024       14.600000      
FLOW_OUT_3     40.400002       0.257719        13.572981       14.350000      
FLOW_OUT_3     48.580002       17.955702       80.424591       17.790001      
FLOW_OUT_3     56.580002       13.369925       20.881655       13.350000      
FLOW_OUT_3     57.889999       12.870875       28.280750       12.830000      
FLOW_OUT_3     60.840000       9.449310        40.857182       9.366000       
FLOW_OUT_3     13.460000       0.002953        1.116045        1.181000       
FLOW_OUT_3     1.590000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.690000        0.000000        0.000000        0.000000       
FLOW_OUT_3     4.980000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.630000        0.000017        0.006592        0.007000       
FLOW_OUT_3     6.330000        0.002520        0.952560        1.008000       
FLOW_OUT_3     19.650000       4.339565        51.677567       4.214000       
FLOW_OUT_3     26.809999       14.839025       48.401455       14.750000      
FLOW_OUT_3     29.209999       11.976425       48.328648       11.880000      
FLOW_OUT_3     32.029999       85.539604       228.648834      85.160004      
FLOW_OUT_3     111.699997      71.906555       383.515930      71.080002      
FLOW_OUT_3     127.099998      16.815849       79.341293       16.650000      
FLOW_OUT_3     23.690001       1.370885        1.704530        1.370000       
FLOW_OUT_3     2.260000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.550000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.270000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.220000        0.000005        0.001995        0.002100       
FLOW_OUT_3     0.770000        0.004990        1.886220        1.996000       
FLOW_OUT_3     10.320000       4.021805        8.095290        4.011000       
FLOW_OUT_3     25.840000       8.238470        48.377663       8.132000       
FLOW_OUT_3     30.219999       8.869393        18.819366       8.843000       
FLOW_OUT_3     39.669998       42.273602       198.200836      41.860001      
FLOW_OUT_3     70.370003       0.886333        12.058070       0.856700       
FLOW_OUT_3     47.970001       0.036150        13.664701       0.000000       
FLOW_OUT_3     13.910000       0.004618        1.745415        0.000000       
FLOW_OUT_3     0.350000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.250000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.200000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.190000        0.000000        0.000000        0.000000       
FLOW_OUT_7     2.080000        9.206263        28.532230       9.155000       
FLOW_OUT_7     12.510000       17.120726       21.164059       17.110001      
FLOW_OUT_7     22.180000       8.272985        9.398331        9.464000       
FLOW_OUT_7     44.610001       113.318748      271.187500      112.900002     
FLOW_OUT_7     35.090000       80.271530       299.506439      79.690002      
FLOW_OUT_7     53.520000       58.029499       182.250977      57.700001      
FLOW_OUT_7     85.519997       29.908949       67.213104       29.809999      
