 FLOW_OUT_1
observed          L95PPU         U95PPU         Best_Sim       M95PPU
47.970001       0.038275        14.467951       0.000000        7.655000       
13.910000       0.005115        1.933470        0.000000        1.023000       
0.350000        0.000000        0.000000        0.000000        0.000000       
0.250000        0.000000        0.000000        0.000000        0.000000       
0.200000        0.000000        0.000000        0.000000        0.000000       
0.190000        0.000000        0.000000        0.000000        0.000000       

p-factor= 0.27
r-factor= 0.48
R2= 0.37
Nash_Sutclif= 0.09


 FLOW_OUT_7
observed          L95PPU         U95PPU         Best_Sim       M95PPU
2.080000        0.079775        30.154949       0.000000        15.955000      
12.510000       8.157030        22.871336       8.118000        15.924000      
22.180000       1.656018        10.333615       1.633000        6.236500       
44.610001       104.549248      273.916504      104.099998      193.949997     
35.090000       73.189552       302.989929      72.580002       194.489990     
53.520000       59.717300       186.879395      59.380001       126.840004     
85.519997       24.796200       68.603600       24.680000       47.920002      
373.470001      3.557415        23.694872       3.504000        14.187000      
306.000000      0.000000        0.000000        0.000000        0.000000       
113.190002      0.000000        0.000000        0.000000        0.000000       
23.120001       0.000000        0.000000        0.000000        0.000000       
5.820000        0.011965        4.522770        0.000000        2.393000       
20.209999       27.049974       117.520546      26.809999       74.805000      
28.910000       6.925740        56.591721       6.794000        33.142002      
37.340000       48.793102       83.891792       48.700001       67.320000      
50.110001       178.850006      386.199982      178.300003      288.299988     
54.509998       182.317749      415.209412      181.699997      305.250000     
60.209999       90.857727       221.950027      90.510002       160.055008     
125.029999      65.262222       122.651024      65.110001       95.555000      
192.000000      8.325945        24.893215       25.860001       17.070999      
157.570007      0.019720        7.454161        7.888000        3.944000       
52.119999       0.009500        3.591000        3.800000        1.900000       
7.700000        0.009595        3.626910        3.838000        1.919000       
10.060000       0.015802        5.973346        6.321000        3.160500       
8.250000        23.472950       88.675095       23.299999       57.889999      
14.400000       32.237251       46.280479       32.200001       39.650002      
66.620003       40.455925       125.629669      40.230000       85.415001      
88.949997       88.262329       198.468796      87.970001       146.434998     
138.669998      54.876701       189.352615      54.520000       125.860001     
122.690002      35.887852       121.787292      35.660000       81.230003      
285.640015      39.594322       124.164848      39.369999       84.235001      
254.139999      7.282592        10.898968       11.110000       9.191500       
151.619995      0.002207        0.834340        0.882900        0.441450       
48.040001       0.000000        0.000000        0.000000        0.000000       
14.620000       0.000000        0.000000        0.000000        0.000000       
5.410000        0.072175        1.951341        2.061000        1.064095       
12.660000       10.984751       156.035492      10.600000       87.550003      
37.650002       42.303749       119.117508      42.099998       82.849998      
109.150002      122.474495      263.660980      122.099998      197.000000     
67.889999       124.980499      193.029007      124.800003      160.899994     
77.660004       99.219696       212.206650      98.919998       158.860001     
112.949997      135.202499      286.945068      134.800003      215.299988     
146.029999      113.332497      200.985031      113.099998      159.600006     
244.229996      20.990376       39.981747       41.090000       31.014999      
272.320007      0.047911        17.662117       18.690001       9.345594       
184.839996      0.021875        8.268750        8.750000        4.375000       
25.330000       0.053092        11.322373       11.980000       6.001600       
14.940000       2.396367        14.975913       15.710000       9.036500       
13.710000       131.972504      498.604950      131.000000      325.500000     
34.990002       79.100426       105.650658      79.029999       93.114998      
